title,writer,company,publication,price,sell_count,review_count,score,site_link
Do it! 점프 투 파이썬,박응용 저,이지스퍼블리싱,2019년 06월,16920,140022,65,9.6,http://www.yes24.com/Product/Goods/74419916?OzSrank=1
혼자 공부하는 파이썬,윤인성 저,한빛미디어,2019년 06월,16200,105774,46,9.4,http://www.yes24.com/Product/Goods/74269975?OzSrank=2
혼자 공부하는 머신러닝+딥러닝,박해선 저,한빛미디어,2020년 12월,23400,43632,8,10.0,http://www.yes24.com/Product/Goods/96024871?OzSrank=3
두근두근 파이썬,천인국 저,생능출판사,2017년 01월,22800,34746,6,10.0,http://www.yes24.com/Product/Goods/35279965?OzSrank=4
이것이 취업을 위한 코딩 테스트다 with 파이썬 ,나동빈 저,한빛미디어,2020년 08월,30600,50802,11,9.5,http://www.yes24.com/Product/Goods/91433923?OzSrank=5
파이썬 for Beginner,우재남 저,한빛아카데미,2020년 01월,23000,37149,3,9.4,http://www.yes24.com/Product/Goods/83849188?OzSrank=6
밑바닥부터 시작하는 딥러닝 ,사이토 고키 저/개앞맵시 역,한빛미디어,2017년 01월,21600,40950,25,9.5,http://www.yes24.com/Product/Goods/34970929?OzSrank=7
파이썬을 이용한 비트코인 자동매매,조대표유대표 저,파이스탁,2021년 03월,24300,9132,정보없음,정보없음,http://www.yes24.com/Product/Goods/98135876?OzSrank=8
파이썬 증권 데이터 분석 ,김황후 저,한빛미디어,2020년 07월,28800,38817,18,9.6,http://www.yes24.com/Product/Goods/90578506?OzSrank=9
핸즈온 머신러닝,오렐리앙 제롱 저/박해선 역,한빛미디어,2020년 05월,49500,48240,13,9.1,http://www.yes24.com/Product/Goods/89959711?OzSrank=10
파이썬 머신러닝 완벽 가이드,권철민 저,위키북스,2020년 02월,34200,28983,4,9.6,http://www.yes24.com/Product/Goods/87044746?OzSrank=11
실전 시계열 분석,에일린 닐슨 저/박찬성 역,한빛미디어,2021년 04월,34200,5148,정보없음,정보없음,http://www.yes24.com/Product/Goods/98576347?OzSrank=12
파이썬 알고리즘 인터뷰,박상길 저/정진호 그림,책만,2020년 07월,34200,29748,12,8.9,http://www.yes24.com/Product/Goods/91084402?OzSrank=13
혼자 공부하는 첫 프로그래밍 with 파이썬 ,문현일 저,한빛미디어,2020년 06월,15300,14718,19,9.3,http://www.yes24.com/Product/Goods/90617738?OzSrank=14
Do it! 자료구조와 함께 배우는 알고리즘 입문 : 파이썬 편,시바타 보요 저/강민 역,이지스퍼블리싱,2020년 07월,19800,18357,8,9.8,http://www.yes24.com/Product/Goods/91219874?OzSrank=15
